date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close,adj_settle,ret_raw_close,ret_adj_close
2014-01-01,4099.000000,4099.000000,4099.000000,4099.000000,2712800,625272,4136.000000,AG0,4070.578497,4070.578497,4070.578497,4070.578497,4107.321948,,
2014-01-02,4196.000000,4213.000000,4175.000000,4197.000000,1479206,642178,4193.000000,AG0,4166.905922,4183.788048,4146.051531,4167.898988,4163.926723,0.023908,0.023908
2014-01-03,4215.000000,4215.000000,4181.000000,4203.000000,1205758,634244,4196.000000,AG0,4185.774180,4185.774180,4152.009928,4173.857385,4166.905922,0.001430,0.001430
2014-01-06,4181.000000,4225.000000,4171.000000,4191.000000,1882328,620000,4200.000000,AG0,4152.009928,4195.704842,4142.079266,4161.940590,4170.878187,-0.002855,-0.002855
2014-01-07,4170.000000,4187.000000,4101.000000,4133.000000,2315210,661516,4137.000000,AG0,4141.086200,4157.968325,4072.564629,4104.342749,4108.315014,-0.013839,-0.013839
2014-01-08,4100.000000,4117.000000,4010.000000,4037.000000,2453224,706958,4048.000000,AG0,4071.571563,4088.453689,3982.195602,4009.008390,4019.932119,-0.023228,-0.023228
2014-01-09,4062.000000,4074.000000,4026.000000,4069.000000,2183462,650262,4044.000000,AG0,4033.835046,4045.751841,3998.084662,4040.786510,4015.959854,0.007927,0.007927
2014-01-10,4098.000000,4166.000000,4054.000000,4162.000000,3010396,602030,4127.000000,AG0,4069.585431,4137.113935,4025.890516,4133.141670,4098.384351,0.022856,0.022856
2014-01-13,4135.000000,4188.000000,4096.000000,4183.000000,2496144,614392,4137.000000,AG0,4106.328881,4158.961392,4067.599298,4153.996061,4108.315014,0.005046,0.005046
2014-01-14,4167.000000,4212.000000,4138.000000,4157.000000,3066214,609548,4172.000000,AG0,4138.107001,4182.794981,4109.308080,4128.176338,4143.072332,-0.006216,-0.006216
2014-01-15,4118.000000,4160.000000,4107.000000,4143.000000,2293810,613166,4132.000000,AG0,4089.446755,4131.155537,4078.523027,4114.273411,4103.349683,-0.003368,-0.003368
2014-01-16,4125.000000,4163.000000,4120.000000,4136.000000,1645532,608176,4145.000000,AG0,4103.331195,4141.131579,4098.357460,4114.273411,4123.226134,-0.001690,0.000000
2014-01-17,4151.000000,4178.000000,4146.000000,4165.000000,1471700,608138,4165.000000,AG0,4129.194616,4156.052783,4124.220881,4143.121073,4143.121073,0.007012,0.007012
2014-01-20,4185.000000,4193.000000,4169.000000,4173.000000,726310,617994,4184.000000,AG0,4163.016012,4170.973988,4147.100061,4151.079049,4162.021265,0.001921,0.001921
2014-01-21,4102.000000,4115.000000,4071.000000,4100.000000,1717860,586282,4095.000000,AG0,4080.452015,4093.383725,4049.614859,4078.462521,4073.488786,-0.017493,-0.017493
2014-01-22,4099.000000,4106.000000,4087.000000,4096.000000,861744,590896,4097.000000,AG0,4077.467774,4084.431002,4065.530810,4074.483533,4075.478280,-0.000976,-0.000976
2014-01-23,4123.000000,4155.000000,4112.000000,4122.000000,2026700,559072,4132.000000,AG0,4101.341701,4133.173603,4090.399484,4100.346954,4110.294423,0.006348,0.006348
2014-01-24,4159.000000,4164.000000,4079.000000,4091.000000,1579372,563118,4129.000000,AG0,4137.152591,4142.126326,4057.572835,4069.509798,4107.310182,-0.007521,-0.007521
2014-01-27,4100.000000,4115.000000,4077.000000,4107.000000,1404302,534314,4097.000000,AG0,4078.462521,4093.383725,4055.583341,4085.425749,4075.478280,0.003911,0.003911
2014-01-28,4101.000000,4103.000000,4064.000000,4080.000000,1027014,533020,4086.000000,AG0,4106.453676,4108.456336,4069.404472,4085.425749,4091.433728,-0.006574,0.000000
2014-01-29,4098.000000,4112.000000,4080.000000,4089.000000,785548,494388,4095.000000,AG0,4103.449687,4117.468304,4085.425749,4094.437718,4100.445697,0.002206,0.002206
2014-01-30,4098.000000,4112.000000,4040.000000,4061.000000,1210638,455972,4083.000000,AG0,4131.742371,4145.857645,4073.264807,4094.437718,4116.618863,-0.006848,0.000000
2014-02-07,4100.000000,4130.000000,4080.000000,4098.000000,1176170,477934,4101.000000,AG0,4133.758839,4164.005855,4113.594161,4131.742371,4134.767073,0.009111,0.009111
2014-02-10,4168.000000,4176.000000,4125.000000,4132.000000,1164140,563974,4153.000000,AG0,4167.740126,4175.739628,4124.742807,4131.742371,4152.741062,0.008297,0.000000
