date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close,adj_settle,ret_raw_close,ret_adj_close
2014-01-02,242.950000,244.700000,242.800000,244.550000,140182,172544,243.930000,AU0,262.438654,264.329033,262.276621,264.167000,263.497266,,
2014-01-03,245.500000,247.100000,244.650000,246.800000,138198,174748,245.700000,AU0,265.193206,266.921553,264.275022,266.597488,265.409250,0.009201,0.009201
2014-01-06,246.400000,248.350000,245.950000,246.600000,193522,170922,247.140000,AU0,266.165401,268.271824,265.679304,266.381445,266.964762,-0.000810,-0.000810
2014-01-07,246.000000,246.600000,243.600000,244.700000,168184,168424,244.940000,AU0,265.733315,266.381445,263.140795,264.329033,264.588285,-0.007705,-0.007705
2014-01-08,244.550000,244.950000,242.300000,243.600000,177540,162886,243.250000,AU0,264.167000,264.599087,261.736513,263.140795,262.762719,-0.004495,-0.004495
2014-01-09,244.350000,244.450000,242.850000,244.000000,134338,162672,243.550000,AU0,263.518251,263.626095,261.900582,263.140795,262.655494,0.001642,-0.000000
2014-01-10,244.950000,247.700000,243.700000,247.450000,173946,161344,246.430000,AU0,264.165318,267.131044,262.817261,266.861433,265.761418,0.014139,0.014139
2014-01-13,247.000000,248.350000,246.300000,247.850000,98840,162376,247.190000,AU0,266.376132,267.832034,265.621220,267.292811,266.581037,0.001616,0.001616
2014-01-14,246.900000,248.050000,245.850000,246.500000,139274,162018,246.990000,AU0,266.268288,267.508500,265.135919,265.836909,266.365348,-0.005447,-0.005447
2014-01-15,244.800000,245.900000,244.400000,245.250000,116510,162418,245.050000,AU0,264.003551,265.189842,263.572173,264.488852,264.273163,-0.005071,-0.005071
2014-01-16,245.050000,246.400000,244.750000,245.350000,105210,162500,245.560000,AU0,264.273163,265.729065,263.949629,264.596696,264.823170,0.000408,0.000408
2014-01-17,245.500000,247.600000,245.400000,247.300000,112272,165004,246.700000,AU0,264.758463,267.023200,264.650619,266.699666,266.052598,0.007948,0.007948
2014-01-20,248.050000,248.250000,247.250000,247.500000,45102,159798,247.900000,AU0,267.508500,267.724190,266.645744,266.915355,267.346733,0.000809,0.000809
2014-01-21,245.750000,245.950000,244.250000,245.400000,109440,161180,245.020000,AU0,265.028075,265.243764,263.410406,264.650619,264.240809,-0.008485,-0.008485
2014-01-22,245.150000,245.500000,244.650000,244.700000,57644,161146,245.080000,AU0,264.381007,264.758463,263.841784,263.895707,264.305516,-0.002852,-0.002852
2014-01-23,246.550000,248.800000,246.250000,248.050000,166792,168882,247.680000,AU0,265.890832,268.317335,265.567298,267.508500,267.109475,0.013690,0.013690
2014-01-24,249.800000,250.550000,248.300000,248.850000,142558,164584,249.430000,AU0,269.395781,270.204615,267.778112,268.371257,268.996756,0.003225,0.003225
2014-01-27,248.950000,249.250000,247.700000,248.500000,122142,161096,248.380000,AU0,268.479102,268.802635,267.131044,267.993801,267.864388,-0.001406,-0.001406
2014-01-28,247.600000,248.700000,245.900000,246.550000,95810,157906,247.070000,AU0,267.023200,268.209490,265.189842,265.890832,266.451623,-0.007847,-0.007847
2014-01-29,248.600000,249.450000,248.150000,248.700000,80892,154780,248.840000,AU0,268.101646,269.018325,267.616345,268.209490,268.360473,0.008720,0.008720
2014-01-30,248.600000,249.450000,247.800000,247.950000,117008,152696,248.700000,AU0,268.101646,269.018325,267.238889,267.400656,268.209490,-0.003016,-0.003016
2014-02-07,248.750000,250.800000,247.400000,249.150000,132672,157862,249.040000,AU0,268.263412,270.474227,266.807511,268.694791,268.576162,0.004840,0.004840
2014-02-10,251.300000,251.900000,250.950000,251.150000,89240,169118,251.360000,AU0,271.013449,271.660517,270.635993,270.851683,271.078156,0.008027,0.008027
2014-02-11,253.350000,254.000000,251.200000,253.400000,198946,181932,252.660000,AU0,273.224264,273.925253,270.905605,273.278186,272.480136,0.008959,0.008959
