date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close,ret_raw_close,ret_adj_close
2014-01-02,52500.000000,52670.000000,52300.000000,52380.000000,78268,240484,52370.000000,CU0,53317.580412,53490.227816,53114.465820,53195.711657,,
2014-01-03,51900.000000,51950.000000,51670.000000,51730.000000,53290,235810,51788.000000,CU0,52708.236636,52759.015284,52474.654855,52535.589233,-0.012409,-0.012409
2014-01-06,51630.000000,51900.000000,51590.000000,51900.000000,61624,222552,51759.000000,CU0,52434.031937,52708.236636,52393.409018,52708.236636,0.003286,0.003286
2014-01-07,51940.000000,51950.000000,51680.000000,51920.000000,62878,220120,51787.000000,CU0,52748.859555,52759.015284,52484.810585,52728.548095,0.000385,0.000385
2014-01-08,52000.000000,52160.000000,51680.000000,51830.000000,93774,221220,51899.000000,CU0,52809.793932,52972.285606,52484.810585,52637.146529,-0.001733,-0.001733
2014-01-09,51220.000000,51290.000000,51000.000000,51000.000000,105100,235178,51135.000000,CU0,52017.647023,52088.737130,51794.220972,51794.220972,-0.016014,-0.016014
2014-01-10,51360.000000,52190.000000,51330.000000,51750.000000,117242,205446,51713.000000,CU0,52159.827238,53002.752795,52129.360049,52555.900692,0.014706,0.014706
2014-01-13,51500.000000,51840.000000,51310.000000,51830.000000,70346,197690,51508.000000,CU0,52302.007452,52647.302259,52109.048590,52637.146529,0.001546,0.001546
2014-01-14,51750.000000,51790.000000,51530.000000,51610.000000,40668,202808,51673.000000,CU0,52555.900692,52596.523611,52332.474641,52413.720478,-0.004245,-0.004245
2014-01-15,51500.000000,51940.000000,51350.000000,51940.000000,99262,219086,51628.000000,CU0,52302.007452,52748.859555,52149.671508,52748.859555,0.006394,0.006394
2014-01-16,51640.000000,51860.000000,51570.000000,51660.000000,74714,225768,51702.000000,CU0,52444.187666,52667.613718,52373.097559,52464.499126,-0.005391,-0.005391
2014-01-17,52010.000000,52060.000000,51780.000000,51850.000000,54902,221830,51895.000000,CU0,52819.949662,52870.728310,52586.367881,52657.457988,0.003678,0.003678
2014-01-20,51630.000000,51800.000000,51630.000000,51700.000000,42142,228694,51722.000000,CU0,52434.031937,52606.679340,52434.031937,52505.122044,-0.002893,-0.002893
2014-01-21,51490.000000,51880.000000,51340.000000,51770.000000,113440,241122,51599.000000,CU0,52291.851722,52687.925177,52139.515778,52576.212151,0.001354,0.001354
2014-01-22,51500.000000,51660.000000,51480.000000,51540.000000,57112,240982,51564.000000,CU0,52302.007452,52464.499126,52281.695993,52342.630370,-0.004443,-0.004443
2014-01-23,51350.000000,51650.000000,51030.000000,51060.000000,144396,253428,51346.000000,CU0,52149.671508,52454.343396,51824.688161,51855.155350,-0.009313,-0.009313
2014-01-24,51190.000000,51310.000000,51060.000000,51150.000000,92132,252378,51152.000000,CU0,51987.179834,52109.048590,51855.155350,51946.556916,0.001763,0.001763
2014-01-27,51030.000000,51040.000000,50840.000000,50860.000000,55196,256152,50928.000000,CU0,51824.688161,51834.843890,51631.729298,51652.040757,-0.005670,-0.005670
2014-01-28,51100.000000,51130.000000,50860.000000,50870.000000,46564,242062,50977.000000,CU0,51895.778268,51926.245457,51652.040757,51662.196487,0.000197,0.000197
2014-01-29,51010.000000,51030.000000,50880.000000,50950.000000,46944,226976,50948.000000,CU0,51804.376702,51824.688161,51672.352217,51743.442324,0.001573,0.001573
2014-01-30,51010.000000,51480.000000,50580.000000,50950.000000,183950,216646,50880.000000,CU0,51804.376702,52281.695993,51367.680329,51743.442324,0.000000,0.000000
2014-02-07,50990.000000,51050.000000,50880.000000,50950.000000,35812,217458,50941.000000,CU0,51784.065242,51844.999620,51672.352217,51743.442324,0.000000,0.000000
2014-02-10,51000.000000,51030.000000,50510.000000,50580.000000,64086,215170,50792.000000,CU0,51794.220972,51824.688161,51296.590221,51367.680329,-0.007262,-0.007262
2014-02-11,50520.000000,50530.000000,50320.000000,50410.000000,54054,221526,50408.000000,CU0,51306.745951,51316.901681,51103.631359,51195.032925,-0.003361,-0.003361
2014-02-12,50660.000000,50760.000000,50570.000000,50740.000000,40216,214238,50663.000000,CU0,51448.926165,51550.483461,51357.524599,51530.172002,0.006546,0.006546
2014-02-13,50520.000000,50580.000000,50390.000000,50580.000000,51408,212310,50470.000000,CU0,51306.745951,51367.680329,51174.721466,51367.680329,-0.003153,-0.003153
2014-02-14,50770.000000,50940.000000,50720.000000,50840.000000,49242,200290,50860.000000,CU0,51560.639191,51733.286594,51509.860543,51631.729298,0.005140,0.005140
2014-02-17,50980.000000,51040.000000,50910.000000,50990.000000,27154,183024,50976.000000,CU0,51773.909513,51834.843890,51702.819405,51784.065242,0.002950,0.002950
2014-02-18,50820.000000,50960.000000,50750.000000,50960.000000,25944,178154,50849.000000,CU0,51611.417839,51753.598054,51540.327732,51753.598054,-0.000588,-0.000588
