date,open,high,low,close,volume,hold
2014-12-26,2088.253508,2501.64005,2088.253508,2470.843345,3672748,408548.0
2015-01-02,2474.396811,2481.503743,2398.589537,2429.386242,5143400,305514.0
2015-01-09,2404.51198,2436.493174,2352.394479,2389.113627,6622612,353614.0
2015-01-16,2379.637718,2395.036071,2246.974988,2350.025501,10874662,452762.0
2015-01-23,2352.394479,2475.581299,2342.91857,2435.308685,9875360,387988.0
2015-01-30,2423.463798,2472.027833,2372.530786,2412.8034,8182234,469004.0
2015-02-06,2419.910332,2582.185279,2392.667093,2563.23346,12264998,478944.0
2015-02-13,2554.94204,2637.856246,2506.378005,2637.856246,8380638,481180.0
2015-02-20,2659.177042,2689.973747,2631.933803,2659.177042,3069592,314954.0
2015-02-27,2701.818633,2801.315681,2689.973747,2790.655283,5757876,635970.0
2015-03-06,2790.655283,3005.04773,2778.810396,2891.336819,32250294,805186.0
2015-03-13,2898.443751,2942.269831,2808.422613,2893.705796,36702744,925332.0
2015-03-20,2875.938467,2897.259262,2727.877384,2757.489601,28042062,815340.0
2015-03-27,2768.149998,2916.211081,2739.722271,2833.296875,22441000,565594.0
2015-04-03,2843.957273,2943.45432,2787.101817,2847.510739,17409200,525422.0
2015-04-10,2884.229887,2899.62824,2807.238124,2815.529545,6944050,543726.0
2015-04-17,2815.529545,3058.34972,2803.684658,3025.184038,7331434,468072.0
2015-04-24,3016.892617,3093.88438,2982.542446,3044.135856,14061500,538316.0
2015-05-01,3050.0583,3143.632904,2993.202844,3045.320345,11612300,490660.0
2015-05-08,3059.534209,3105.729267,2939.900854,2974.251025,12475400,481852.0
2015-05-15,2988.464889,2993.202844,2909.104149,2962.406139,9437400,480778.0
2015-05-22,2949.376763,2958.852673,2835.665852,2924.502502,10074800,447460.0
2015-05-29,2899.62824,2973.066537,2870.114129,2926.831082,8784800,448060.0
2015-06-05,2930.375892,2955.189559,2854.753288,2877.203749,7798500,419698.0
2015-06-12,2885.474971,2945.736733,2845.300463,2886.656574,6105172,451510.0
2015-06-19,2889.01978,2996.54567,2881.930161,2971.732003,8729100,478508.0
2015-06-26,3126.52202,3126.52202,2919.741463,2971.732003,3635006,403286.0
2015-07-03,2959.915971,2968.187194,2878.385352,2923.286273,6043374,343108.0
2015-07-10,2919.741463,2925.649479,2512.088365,2816.941986,9106200,290500.0
2015-07-17,2795.673129,2809.852367,2664.515176,2720.050525,7267800,316290.0
2015-07-24,2702.326478,2744.864192,2658.60716,2666.878382,5316920,322880.0
2015-07-31,2644.427922,2651.517541,2490.819508,2554.62608,3522702,314884.0
2015-08-07,2547.536461,2581.802953,2344.300713,2391.564841,8882320,473406.0
2015-08-14,2382.112015,2552.262873,2370.295983,2497.909127,12855600,479966.0
2015-08-21,2500.272333,2529.812413,2382.112015,2399.836063,12446600,499132.0
2015-08-28,2392.746444,2410.470492,2201.326728,2374.530587,14778570,552152.0
2015-09-04,2368.534298,2382.925392,2257.003315,2308.571404,10597612,587164.0
2015-09-11,2217.427806,2368.534298,2189.844875,2337.353593,13757346,690072.0
2015-09-18,2326.560272,2350.545429,2280.988473,2320.563983,15079960,660876.0
2015-09-25,2310.96992,2409.309065,2298.977341,2346.947656,15799852,662836.0
2015-10-02,2339.752109,2357.740977,2273.792926,2297.778083,4351876,492050.0
2015-10-09,2372.132071,2471.670475,2363.737266,2441.689028,2203456,604718.0
2015-10-16,2435.692738,2452.482349,2352.943945,2357.740977,8350102,593940.0
2015-10-23,2358.940235,2373.331329,2236.615932,2273.792926,7796800,722106.0
2015-10-30,2262.999605,2292.981052,2215.02929,2229.420384,8669416,686138.0
2015-11-06,2231.8189,2304.97363,2218.627064,2295.379567,8416248,725880.0
2015-11-13,2291.781794,2309.770662,2237.815189,2298.977341,7208342,675990.0
2015-11-20,2300.176599,2308.571404,2151.468623,2164.660459,9422564,637420.0
2015-11-27,2168.258233,2260.601089,2075.915377,2225.822611,8749894,341236.0
2015-12-04,2002.760647,2042.336156,1939.199979,1966.78291,8901288,509830.0
2015-12-11,1979.974747,1994.365841,1906.820017,1979.974747,9148724,552402.0
2015-12-18,1972.7792,2026.745804,1946.395527,2000.362131,7996724,542486.0
2015-12-25,1997.963615,2069.919087,1993.166584,2050.730961,9132110,604356.0
2016-01-01,2089.792504,2139.840104,2040.965576,2119.08866,5908948,536730.0
2016-01-08,2136.178085,2164.253568,2084.909811,2156.929529,8365436,637752.0
2016-01-15,2153.267509,2159.370875,2065.37904,2089.792504,8401850,547536.0
2016-01-22,2075.144425,2180.12232,2056.834327,2141.060778,8425122,635864.0
2016-01-29,2145.94347,2167.915588,2115.426641,2137.398758,6559926,607326.0
2016-02-05,2136.178085,2199.653091,2105.661255,2182.563666,5106954,484772.0
2016-02-19,2172.798281,2277.776175,2171.577607,2264.34877,4841494,658894.0
2016-02-26,2264.34877,2314.396371,2156.929529,2166.694915,6878966,580948.0
2016-03-04,2166.694915,2247.259345,2150.826163,2226.507901,8644564,574316.0
2016-03-11,2231.390594,2425.477631,2228.949247,2340.030508,13683428,480788.0
2016-03-18,2332.706469,2484.069944,2298.527619,2437.684363,6675080,498410.0
2016-03-25,2448.670422,2532.896872,2321.72041,2347.354547,6534252,450886.0
2016-04-01,2347.354547,2374.209357,2274.114155,2293.644926,3742124,325036.0
2016-04-08,2239.935306,2330.265122,2239.935306,2316.837717,1245610,275850.0
2016-04-15,2337.589161,2443.787729,2264.34877,2392.519455,8026400,468058.0
2016-04-22,2374.209357,2530.455526,2349.795893,2435.243017,8455350,386244.0
2016-04-29,2451.111768,2579.036874,2419.374265,2541.874959,8032712,393150.0
2016-05-06,2349.871734,2497.280662,2342.439351,2394.466031,2624380,407610.0
