date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close,adj_settle,ret_raw_close,ret_adj_close
2014-01-02,2616.000000,2642.000000,2606.000000,2641.000000,2447362,1106300,2622.000000,RM0,3172.099880,3203.626866,3159.974116,3202.414290,3179.375338,,
2014-01-03,2629.000000,2642.000000,2602.000000,2627.000000,3208056,1100232,2623.000000,RM0,3187.863373,3203.626866,3155.123810,3185.438220,3180.587915,-0.005301,-0.005301
2014-01-06,2628.000000,2639.000000,2612.000000,2620.000000,2462186,1104000,2624.000000,RM0,3186.650797,3199.989137,3167.249574,3176.950185,3181.800491,-0.002665,-0.002665
2014-01-07,2630.000000,2630.000000,2569.000000,2582.000000,3355716,1067800,2597.000000,RM0,3189.075949,3189.075949,3115.108789,3130.872282,3149.060928,-0.014504,-0.014504
2014-01-08,2587.000000,2592.000000,2563.000000,2586.000000,2211700,1038868,2576.000000,RM0,3136.935164,3142.998046,3107.833330,3135.722587,3123.596823,0.001549,0.001549
2014-01-09,2578.000000,2610.000000,2571.000000,2578.000000,2487266,994140,2592.000000,RM0,3126.021976,3164.824421,3117.533941,3126.021976,3142.998046,-0.003094,-0.003094
2014-01-10,2579.000000,2595.000000,2570.000000,2592.000000,1807142,985004,2578.000000,RM0,3127.234553,3146.635775,3116.321365,3142.998046,3126.021976,0.005431,0.005431
2014-01-13,2590.000000,2609.000000,2577.000000,2578.000000,1832898,981470,2591.000000,RM0,3140.572893,3163.611845,3124.809400,3126.021976,3141.785470,-0.005401,-0.005401
2014-01-14,2599.000000,2629.000000,2580.000000,2627.000000,2568450,1034500,2606.000000,RM0,3151.486081,3187.863373,3128.447129,3185.438220,3159.974116,0.019007,0.019007
2014-01-15,2632.000000,2655.000000,2626.000000,2653.000000,2015504,1086842,2637.000000,RM0,3191.501102,3219.390360,3184.225644,3216.965207,3197.563984,0.009897,0.009897
2014-01-17,2675.000000,2711.000000,2666.000000,2675.000000,2587322,1064148,2686.000000,RM0,3243.641888,3287.294638,3232.728700,3243.641888,3256.980228,0.008292,0.008292
2014-01-20,2678.000000,2691.000000,2662.000000,2688.000000,1601246,1027700,2677.000000,RM0,3247.279617,3263.043110,3227.878394,3259.405381,3246.067040,0.004860,0.004860
2014-01-21,2689.000000,2695.000000,2656.000000,2662.000000,1666942,955386,2671.000000,RM0,3260.617957,3267.893416,3220.602936,3227.878394,3238.791582,-0.009673,-0.009673
2014-01-22,2630.000000,2641.000000,2579.000000,2594.000000,2378376,832704,2610.000000,RM0,3189.075949,3202.414290,3127.234553,3145.423199,3164.824421,-0.025545,-0.025545
2014-01-23,2469.000000,2478.000000,2458.000000,2469.000000,335574,825902,0.000000,RM0,2993.851148,3004.764336,2980.512807,2993.851148,0.000000,-0.048188,-0.048188
2014-01-24,2450.000000,2463.000000,2445.000000,2454.000000,257666,816336,2456.000000,RM0,2970.812196,2986.575689,2964.749314,2975.662502,2978.087655,-0.006075,-0.006075
2014-01-27,2604.000000,2629.000000,2595.000000,2616.000000,1287240,827046,2615.000000,RM0,3157.548963,3187.863373,3146.635775,3172.099880,3170.887303,0.066015,0.066015
2014-01-28,2481.000000,2482.000000,2458.000000,2463.000000,256708,769754,2470.000000,RM0,3008.402065,3009.614641,2980.512807,2986.575689,2995.063724,-0.058486,-0.058486
2014-01-29,2463.000000,2489.000000,2456.000000,2462.000000,353130,738550,2471.000000,RM0,2986.575689,3018.102676,2978.087655,2985.363113,2996.276301,-0.000406,-0.000406
2014-01-30,2455.000000,2483.000000,2448.000000,2482.000000,202432,725520,2467.000000,RM0,2976.875078,3010.827218,2968.387043,3009.614641,2991.425995,0.008123,0.008123
2014-02-07,2520.000000,2589.000000,2518.000000,2568.000000,488472,761898,2563.000000,RM0,3055.692545,3139.360317,3053.267392,3113.896212,3107.833330,0.034649,0.034649
2014-02-10,2583.000000,2587.000000,2557.000000,2567.000000,493336,837442,2568.000000,RM0,3132.084858,3136.935164,3100.557872,3112.683636,3113.896212,-0.000389,-0.000389
2014-02-11,2553.000000,2564.000000,2547.000000,2555.000000,401972,871454,2555.000000,RM0,3095.707566,3109.045907,3088.432108,3098.132719,3098.132719,-0.004675,-0.004675
2014-02-12,2570.000000,2574.000000,2542.000000,2544.000000,486844,899260,2555.000000,RM0,3116.321365,3121.171671,3082.369226,3084.794378,3098.132719,-0.004305,-0.004305
2014-02-13,2532.000000,2571.000000,2527.000000,2564.000000,541412,930550,2557.000000,RM0,3070.243462,3117.533941,3064.180579,3109.045907,3100.557872,0.007862,0.007862
2014-02-14,2578.000000,2580.000000,2551.000000,2554.000000,514872,909334,2560.000000,RM0,3126.021976,3128.447129,3093.282413,3096.920142,3104.195601,-0.003900,-0.003900
2014-02-17,2554.000000,2575.000000,2531.000000,2533.000000,692168,893026,2551.000000,RM0,3096.920142,3122.384247,3069.030885,3071.456038,3093.282413,-0.008222,-0.008222
2014-02-18,2536.000000,2548.000000,2518.000000,2526.000000,684450,875712,2534.000000,RM0,3075.093767,3089.644684,3053.267392,3062.968003,3072.668614,-0.002764,-0.002764
2014-02-19,2545.000000,2548.000000,2525.000000,2534.000000,553368,868734,2536.000000,RM0,3086.006955,3089.644684,3061.755427,3072.668614,3075.093767,0.003167,0.003167
2014-02-20,2530.000000,2564.000000,2525.000000,2550.000000,1129690,913662,2550.000000,RM0,3067.818309,3109.045907,3061.755427,3092.069837,3092.069837,0.006314,0.006314
2014-02-21,2552.000000,2557.000000,2521.000000,2524.000000,1002030,906160,2540.000000,RM0,3094.494990,3100.557872,3056.905121,3060.542850,3079.944073,-0.010196,-0.010196
2014-02-24,2534.000000,2548.000000,2505.000000,2547.000000,1106348,892278,2531.000000,RM0,3072.668614,3089.644684,3037.503899,3088.432108,3069.030885,0.009113,0.009113
2014-02-25,2553.000000,2559.000000,2529.000000,2534.000000,1315064,869890,2544.000000,RM0,3095.707566,3102.983025,3066.605732,3072.668614,3084.794378,-0.005104,-0.005104
2014-02-26,2543.000000,2572.000000,2528.000000,2534.000000,2340722,931118,2550.000000,RM0,3083.581802,3118.746518,3065.393156,3072.668614,3092.069837,0.000000,0.000000
2014-02-27,2537.000000,2544.000000,2522.000000,2536.000000,1357014,934356,2532.000000,RM0,3076.306344,3084.794378,3058.117697,3075.093767,3070.243462,0.000789,0.000789
2014-02-28,2523.000000,2540.000000,2512.000000,2519.000000,1328614,885152,2526.000000,RM0,3059.330274,3079.944073,3045.991933,3054.479968,3062.968003,-0.006703,-0.006703
2014-03-03,2535.000000,2538.000000,2520.000000,2532.000000,912306,851830,2530.000000,RM0,3073.881191,3077.518920,3055.692545,3070.243462,3067.818309,0.005161,0.005161
2014-03-04,2522.000000,2536.000000,2511.000000,2533.000000,857564,859620,2523.000000,RM0,3058.117697,3075.093767,3044.779357,3071.456038,3059.330274,0.000395,0.000395
2014-03-05,2539.000000,2570.000000,2530.000000,2568.000000,1588300,1014254,2551.000000,RM0,3078.731496,3116.321365,3067.818309,3113.896212,3093.282413,0.013818,0.013818
2014-03-06,2570.000000,2579.000000,2558.000000,2565.000000,1370314,996142,2567.000000,RM0,3116.321365,3127.234553,3101.770448,3110.258483,3112.683636,-0.001168,-0.001168
2014-03-10,2588.000000,2610.000000,2579.000000,2584.000000,2272248,1004778,2594.000000,RM0,3138.147740,3164.824421,3127.234553,3133.297435,3145.423199,0.007407,0.007407
2014-03-11,2564.000000,2604.000000,2560.000000,2589.000000,1719086,1041600,2586.000000,RM0,3109.045907,3157.548963,3104.195601,3139.360317,3135.722587,0.001935,0.001935
2014-03-12,2582.000000,2596.000000,2562.000000,2572.000000,1207966,1018142,2578.000000,RM0,3130.872282,3147.848352,3106.620754,3118.746518,3126.021976,-0.006566,-0.006566
2014-03-14,2540.000000,2544.000000,2499.000000,2500.000000,1406716,998306,2523.000000,RM0,3079.944073,3084.794378,3030.228440,3031.441017,3059.330274,-0.027994,-0.027994
2014-03-17,2503.000000,2507.000000,2466.000000,2483.000000,1469956,999850,2480.000000,RM0,3035.078746,3039.929051,2990.213419,3010.827218,3007.189488,-0.006800,-0.006800
2014-03-18,2483.000000,2503.000000,2475.000000,2492.000000,1127000,963476,2489.000000,RM0,2999.953444,3024.117386,2990.287867,3010.827218,3007.202626,0.003625,0.000000
2014-03-19,2506.000000,2538.000000,2502.000000,2532.000000,1440374,913108,2521.000000,RM0,3027.741977,3066.404285,3022.909189,3059.155102,3045.864934,0.016051,0.016051
2014-03-20,2535.000000,2564.000000,2526.000000,2550.000000,1487890,849454,2546.000000,RM0,3062.779694,3097.817410,3051.905920,3080.902650,3076.069862,0.007109,0.007109
2014-03-21,2549.000000,2551.000000,2521.000000,2536.000000,1002292,837834,2531.000000,RM0,3079.694453,3082.110848,3045.864934,3063.987891,3057.946905,-0.005490,-0.005490
