date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close,adj_settle,ret_raw_close,ret_adj_close
2014-01-02,18195.000000,18265.000000,18010.000000,18135.000000,354254,214686,18135.000000,RU0,18636.463414,18708.161817,18446.974778,18575.007640,18575.007640,,
2014-01-03,18000.000000,18020.000000,17605.000000,17625.000000,422786,225800,17780.000000,RU0,18436.732149,18457.217407,18032.148305,18052.633563,18211.394312,-0.028122,-0.028122
2014-01-06,17575.000000,17630.000000,17235.000000,17245.000000,439186,226854,17485.000000,RU0,18001.420418,18057.754877,17653.171033,17663.413662,17909.236757,-0.021560,-0.021560
2014-01-07,17240.000000,17275.000000,16710.000000,16815.000000,626044,230146,17005.000000,RU0,17658.292347,17694.141549,17115.433012,17222.980616,17417.590566,-0.024935,-0.024935
2014-01-08,16810.000000,16920.000000,16680.000000,16735.000000,446668,223728,16780.000000,RU0,17217.859301,17330.528220,17084.705125,17141.039584,17187.131414,-0.004758,-0.004758
2014-01-09,16690.000000,17135.000000,16660.000000,16855.000000,553446,212692,16915.000000,RU0,17094.947754,17550.744743,17064.219867,17263.951132,17325.406906,0.007171,0.007171
2014-01-10,16820.000000,17030.000000,16720.000000,16920.000000,437596,208304,16855.000000,RU0,17228.101930,17443.197139,17125.675641,17330.528220,17263.951132,0.003856,0.003856
2014-01-13,17040.000000,17050.000000,16325.000000,16340.000000,530984,229552,16615.000000,RU0,17453.439768,17463.682397,16721.091796,16736.455740,17018.128036,-0.034279,-0.034279
2014-01-14,16325.000000,16815.000000,16235.000000,16750.000000,590184,211122,16515.000000,RU0,16721.091796,17222.980616,16628.908136,17156.403528,16915.701747,0.025092,0.025092
2014-01-15,16720.000000,16840.000000,16520.000000,16675.000000,539538,209488,16665.000000,RU0,17125.675641,17248.587188,16920.823061,17079.583810,17069.341181,-0.004478,-0.004478
2014-01-17,16700.000000,16715.000000,16450.000000,16630.000000,448570,203248,16550.000000,RU0,17105.190383,17120.554326,16849.124658,17033.491980,16951.550948,-0.002699,-0.002699
2014-01-20,16510.000000,16935.000000,16505.000000,16830.000000,459778,200824,16815.000000,RU0,16910.580432,17345.892164,16905.459118,17238.344559,17222.980616,0.012026,0.012026
2014-01-21,16835.000000,16840.000000,16350.000000,16425.000000,493972,221712,16545.000000,RU0,17243.465874,17248.587188,16746.698369,16823.518086,16946.429634,-0.024064,-0.024064
2014-01-22,16370.000000,16735.000000,16305.000000,16590.000000,566314,203058,16555.000000,RU0,16767.183627,17141.039584,16700.606538,16992.521464,16956.672263,0.010046,0.010046
2014-01-23,16590.000000,16740.000000,16400.000000,16555.000000,533002,201226,0.000000,RU0,16992.521464,17146.160899,16797.911514,16956.672263,0.000000,-0.002110,-0.002110
2014-01-24,16415.000000,16665.000000,16365.000000,16570.000000,519560,204516,16515.000000,RU0,16813.275457,17069.341181,16762.062312,16972.036206,16915.701747,0.000906,0.000906
2014-01-27,16380.000000,16475.000000,15930.000000,15950.000000,527686,226188,16100.000000,RU0,16777.426256,16874.731231,16316.507952,16336.993210,16490.632644,-0.037417,-0.037417
