date,open,high,low,close,volume,hold,settle,symbol,adj_open,adj_high,adj_low,adj_close
2014-01-02,7364.000000,7364.000000,7274.000000,7294.000000,323978,403860,7304.000000,TA0,6674.572649,6674.572649,6592.998567,6611.126141
2014-01-03,7236.000000,7268.000000,7212.000000,7220.000000,173350,407484,7240.000000,TA0,6558.556177,6587.560295,6536.803089,6544.054118
2014-01-06,7210.000000,7212.000000,7136.000000,7146.000000,238492,422160,7174.000000,TA0,6534.990332,6536.803089,6467.918309,6476.982096
2014-01-07,7160.000000,7160.000000,7066.000000,7096.000000,221352,437950,7100.000000,TA0,6489.671397,6489.671397,6404.471801,6431.663161
2014-01-08,7088.000000,7126.000000,7076.000000,7104.000000,150578,427392,7102.000000,TA0,6424.412132,6458.854522,6413.535588,6438.914191
2014-01-09,7080.000000,7140.000000,7006.000000,7120.000000,222846,412538,7100.000000,TA0,6417.161102,6471.543823,6350.089079,6453.416250
2014-01-10,7100.000000,7110.000000,7020.000000,7084.000000,307498,403938,7066.000000,TA0,6435.288676,6444.352463,6362.778381,6420.786617
2014-01-13,7090.000000,7106.000000,7036.000000,7046.000000,168756,405946,7072.000000,TA0,6426.224889,6440.726948,6377.280440,6386.344227
2014-01-14,7026.000000,7042.000000,6924.000000,7004.000000,486318,424468,6970.000000,TA0,6368.216653,6382.718712,6275.766027,6348.276322
2014-01-15,7000.000000,7000.000000,6950.000000,6982.000000,178234,421948,6978.000000,TA0,6364.642546,6364.642546,6319.180813,6348.276322
2014-01-17,7026.000000,7028.000000,6974.000000,7014.000000,162272,411552,6998.000000,TA0,6388.282647,6390.101116,6341.002445,6377.371831
2014-01-20,7000.000000,7028.000000,6984.000000,7008.000000,153880,415880,7006.000000,TA0,6364.642546,6390.101116,6350.094791,6371.916423
2014-01-21,7000.000000,7000.000000,6868.000000,6898.000000,391514,468748,6932.000000,TA0,6364.642546,6364.642546,6244.623572,6271.900612
2014-01-22,6898.000000,6924.000000,6836.000000,6874.000000,299298,464826,6884.000000,TA0,6271.900612,6295.540712,6215.528063,6250.078980
2014-01-23,6900.000000,6922.000000,6874.000000,6900.000000,186044,451346,0.000000,TA0,6273.719081,6293.722243,6250.078980,6273.719081
2014-01-24,6914.000000,6972.000000,6914.000000,6940.000000,205270,436554,6944.000000,TA0,6286.448366,6339.183976,6286.448366,6310.088467
2014-01-27,6926.000000,6942.000000,6880.000000,6916.000000,162768,429744,6904.000000,TA0,6297.359182,6311.906936,6255.534388,6288.266835
2014-01-28,6886.000000,6918.000000,6880.000000,6896.000000,124200,423094,6896.000000,TA0,6260.989796,6290.085304,6255.534388,6270.082142
2014-01-29,6898.000000,6918.000000,6860.000000,6916.000000,128642,411644,6896.000000,TA0,6271.900612,6290.085304,6237.349695,6288.266835
2014-01-30,6916.000000,6924.000000,6816.000000,6860.000000,170492,406450,6862.000000,TA0,6288.266835,6295.540712,6197.343370,6237.349695
2014-02-07,6876.000000,6876.000000,6824.000000,6832.000000,92184,416800,6844.000000,TA0,6251.897449,6251.897449,6204.617247,6211.891125
2014-02-10,6840.000000,6936.000000,6836.000000,6932.000000,237614,428056,6888.000000,TA0,6219.165002,6306.451528,6215.528063,6302.814590
2014-02-11,6930.000000,6938.000000,6862.000000,6874.000000,177984,445992,6888.000000,TA0,6300.996120,6308.269997,6239.168164,6250.078980
2014-02-12,6882.000000,6892.000000,6846.000000,6874.000000,148058,456370,6872.000000,TA0,6257.352857,6266.445204,6224.620410,6250.078980
2014-02-13,6880.000000,6880.000000,6830.000000,6830.000000,211856,491836,6848.000000,TA0,6255.534388,6255.534388,6210.072655,6210.072655
2014-02-14,6822.000000,6856.000000,6788.000000,6790.000000,339036,542840,6820.000000,TA0,6202.798778,6233.712756,6171.884800,6173.703269
2014-02-17,6790.000000,6842.000000,6764.000000,6810.000000,410796,551834,6816.000000,TA0,6173.703269,6220.983471,6150.063168,6191.887962
2014-02-18,6814.000000,6826.000000,6736.000000,6740.000000,448486,615464,6786.000000,TA0,6195.524901,6206.435717,6124.604598,6128.241537
2014-02-19,6778.000000,6790.000000,6720.000000,6734.000000,454386,647374,6746.000000,TA0,6162.792454,6173.703269,6110.056844,6122.786129
2014-02-20,6726.000000,6750.000000,6670.000000,6692.000000,504116,646792,6700.000000,TA0,6115.512252,6137.333883,6064.595111,6084.598274
2014-02-21,6690.000000,6728.000000,6682.000000,6688.000000,322714,640202,6704.000000,TA0,6082.779804,6117.330721,6075.505927,6080.961335
2014-02-24,6670.000000,6672.000000,6448.000000,6524.000000,716864,652670,6546.000000,TA0,6064.595111,6066.413581,5862.745019,5931.846853
2014-02-25,6516.000000,6530.000000,6470.000000,6472.000000,320128,659860,6500.000000,TA0,5924.572975,5937.302261,5882.748182,5884.566651
2014-02-26,6458.000000,6498.000000,6412.000000,6470.000000,315452,663084,6462.000000,TA0,5871.837366,5908.206752,5830.012572,5882.748182
2014-02-27,6468.000000,6478.000000,6432.000000,6434.000000,188018,649162,6452.000000,TA0,5880.929712,5890.022059,5848.197265,5850.015734
2014-02-28,6418.000000,6462.000000,6412.000000,6428.000000,280436,637748,6442.000000,TA0,5835.467980,5875.474304,5830.012572,5844.560326
2014-03-03,6438.000000,6500.000000,6438.000000,6458.000000,267594,612808,6472.000000,TA0,5853.652673,5910.025221,5853.652673,5871.837366
2014-03-04,6462.000000,6482.000000,6452.000000,6470.000000,146450,591998,6466.000000,TA0,5875.474304,5893.658997,5866.381958,5882.748182
2014-03-05,6474.000000,6564.000000,6454.000000,6554.000000,320134,583608,6512.000000,TA0,5886.385120,5968.216239,5868.200427,5959.123892
2014-03-06,6536.000000,6596.000000,6520.000000,6594.000000,208664,566632,6560.000000,TA0,5942.757668,5997.311747,5928.209914,5995.493278
2014-03-10,6426.000000,6524.000000,6296.000000,6392.000000,861522,510730,6394.000000,TA0,5842.741857,5931.846853,5724.541353,5811.827879
2014-03-11,6386.000000,6546.000000,6374.000000,6484.000000,703710,482732,6466.000000,TA0,5806.372471,5951.850015,5795.461655,5895.477467
2014-03-12,6400.000000,6486.000000,6382.000000,6462.000000,648470,504894,6438.000000,TA0,5819.101756,5897.295936,5802.735532,5875.474304
2014-03-14,6354.000000,6360.000000,6174.000000,6174.000000,1105468,741416,6246.000000,TA0,5777.276962,5782.732370,5613.614725,5613.614725
2014-03-17,6132.000000,6262.000000,6132.000000,6244.000000,708970,653152,6220.000000,TA0,5575.426870,5693.627374,5575.426870,5677.261151
2014-03-18,6220.000000,6274.000000,6174.000000,6250.000000,630054,676146,6228.000000,TA0,5655.439519,5704.538190,5613.614725,5682.716559
2014-03-19,6258.000000,6288.000000,6232.000000,6268.000000,384558,690522,6262.000000,TA0,5689.990436,5717.267475,5666.350335,5699.082782
2014-03-20,6300.000000,6308.000000,6238.000000,6286.000000,514996,679938,6276.000000,TA0,5728.178291,5735.452168,5671.805743,5715.449006
2014-03-21,6278.000000,6340.000000,6248.000000,6336.000000,549808,699756,6292.000000,TA0,5708.175129,5764.547677,5680.898089,5760.910739
2014-03-24,6330.000000,6406.000000,6330.000000,6394.000000,733362,706846,6370.000000,TA0,5755.455331,5824.557164,5755.455331,5813.646348
2014-03-25,6416.000000,6500.000000,6398.000000,6476.000000,740138,636546,6454.000000,TA0,5833.649510,5910.025221,5817.283287,5888.203589
2014-03-26,6480.000000,6516.000000,6458.000000,6498.000000,489626,573172,6482.000000,TA0,5891.840528,5924.572975,5871.837366,5908.206752
2014-03-27,6488.000000,6554.000000,6452.000000,6522.000000,605134,545046,6514.000000,TA0,5899.114405,5959.123892,5866.381958,5930.028383
2014-03-28,6534.000000,6632.000000,6526.000000,6624.000000,611824,531718,6570.000000,TA0,5940.939199,6030.044195,5933.665322,6022.770318
2014-03-31,6648.000000,6666.000000,6574.000000,6586.000000,535458,540080,6618.000000,TA0,6044.591949,6060.958173,5977.308585,5988.219401
2014-04-01,6576.000000,6590.000000,6476.000000,6480.000000,686342,490498,6512.000000,TA0,5979.127054,5991.856339,5888.203589,5891.840528
2014-04-02,6468.000000,6526.000000,6458.000000,6484.000000,434324,498494,6488.000000,TA0,5880.929712,5933.665322,5871.837366,5895.477467
2014-04-03,6460.000000,6474.000000,6404.000000,6418.000000,493028,517022,6436.000000,TA0,5873.655835,5886.385120,5822.738695,5835.467980
2014-04-04,6420.000000,6462.000000,6410.000000,6444.000000,342222,478994,6442.000000,TA0,5837.286449,5875.474304,5828.194103,5859.108081
2014-04-08,6446.000000,6538.000000,6446.000000,6502.000000,570254,527922,6504.000000,TA0,5860.926550,5944.576138,5860.926550,5911.843690
2014-04-09,6516.000000,6528.000000,6380.000000,6384.000000,616106,547876,6468.000000,TA0,5924.572975,5935.483791,5800.917063,5804.554002
2014-04-10,6384.000000,6420.000000,6340.000000,6368.000000,703378,541910,6378.000000,TA0,5804.554002,5837.286449,5764.547677,5790.006247
2014-04-11,6372.000000,6400.000000,6356.000000,6388.000000,380062,537850,6380.000000,TA0,5793.643186,5819.101756,5779.095432,5808.190940
2014-04-14,6420.000000,6440.000000,6380.000000,6426.000000,421722,536652,6414.000000,TA0,5837.286449,5855.471142,5800.917063,5842.741857
2014-04-15,6424.000000,6438.000000,6372.000000,6382.000000,411180,532590,6402.000000,TA0,5840.923388,5853.652673,5793.643186,5802.735532
2014-04-16,6384.000000,6416.000000,6362.000000,6400.000000,313976,523978,6390.000000,TA0,5804.554002,5833.649510,5784.550839,5819.101756
2014-04-17,6408.000000,6456.000000,6366.000000,6388.000000,640844,543426,6420.000000,TA0,5826.375633,5870.018896,5788.187778,5808.190940
2014-04-18,6382.000000,6392.000000,6306.000000,6312.000000,614836,528530,6344.000000,TA0,5802.735532,5811.827879,5733.633699,5739.089107
2014-04-21,6320.000000,6326.000000,6220.000000,6248.000000,450704,544654,6258.000000,TA0,5746.362984,5751.818392,5655.439519,5680.898089
2014-04-22,6230.000000,6276.000000,6192.000000,6274.000000,356032,562260,6242.000000,TA0,5664.531866,5706.356660,5629.980949,5704.538190
2014-04-23,6260.000000,6276.000000,6220.000000,6248.000000,293918,552064,6244.000000,TA0,5691.808905,5706.356660,5655.439519,5680.898089
2014-04-24,6252.000000,6300.000000,6242.000000,6298.000000,342496,541594,6278.000000,TA0,5684.535028,5728.178291,5675.442682,5726.359822
2014-04-25,6300.000000,6314.000000,6266.000000,6294.000000,216480,530954,6288.000000,TA0,5728.178291,5740.907576,5697.264313,5722.722883
2014-04-28,6284.000000,6284.000000,6218.000000,6228.000000,285374,523446,6244.000000,TA0,5713.630537,5713.630537,5653.621050,5662.713396
2014-04-29,6212.000000,6254.000000,6170.000000,6234.000000,289710,539230,6230.000000,TA0,5648.165642,5686.353497,5609.977787,5668.168804
2014-04-30,6242.000000,6244.000000,6194.000000,6202.000000,195688,533600,6214.000000,TA0,5675.442682,5677.261151,5631.799418,5639.073296
2014-05-01,6220.000000,6220.000000,6220.000000,6220.000000,4,42,6224.000000,TA0,5655.439519,5655.439519,5655.439519,5655.439519
2014-05-05,6168.000000,6190.000000,6094.000000,6106.000000,430022,571722,6134.000000,TA0,5608.159317,5628.162480,5540.875953,5551.786769
2014-05-06,6098.000000,6118.000000,6062.000000,6064.000000,310086,595788,6088.000000,TA0,5582.914861,5601.225504,5549.955705,5551.786769
2014-05-07,6048.000000,6068.000000,6012.000000,6060.000000,466316,602626,6038.000000,TA0,5537.138255,5555.448898,5504.179099,5548.124641
2014-05-08,6068.000000,6068.000000,5990.000000,5990.000000,401332,609644,6020.000000,TA0,5555.448898,5555.448898,5484.037392,5484.037392
2014-05-09,6002.000000,6068.000000,5990.000000,6064.000000,353622,573498,6030.000000,TA0,5495.023778,5555.448898,5484.037392,5551.786769
2014-05-12,6080.000000,6118.000000,6068.000000,6100.000000,363990,549878,6092.000000,TA0,5566.435283,5601.225504,5555.448898,5584.745925
2014-05-13,6132.000000,6188.000000,6126.000000,6140.000000,514268,529014,6154.000000,TA0,5614.042953,5665.312752,5608.549761,5621.367210
2014-05-14,6150.000000,6200.000000,6142.000000,6200.000000,398848,500612,6172.000000,TA0,5630.522531,5676.299137,5623.198274,5676.299137
2014-05-15,6200.000000,6250.000000,6156.000000,6178.000000,544006,496894,6202.000000,TA0,5676.299137,5722.075743,5636.015724,5656.157431
2014-05-16,6164.000000,6182.000000,6108.000000,6182.000000,394754,463024,6138.000000,TA0,5643.339981,5659.819559,5592.070182,5659.819559
2014-05-19,6192.000000,6320.000000,6170.000000,6320.000000,802962,515732,6248.000000,TA0,5668.974880,5786.162992,5648.833174,5786.162992
2014-05-20,6310.000000,6320.000000,6260.000000,6294.000000,501710,520236,6286.000000,TA0,5777.007670,5786.162992,5731.231064,5762.359157
2014-05-21,6312.000000,6408.000000,6312.000000,6400.000000,689198,555842,6376.000000,TA0,5778.838735,5866.729818,5778.838735,5859.405561
2014-05-22,6414.000000,6436.000000,6356.000000,6406.000000,743102,566896,6394.000000,TA0,5872.223011,5892.364717,5819.122148,5864.898754
2014-05-23,6408.000000,6500.000000,6392.000000,6498.000000,727116,601790,6456.000000,TA0,5866.729818,5950.958773,5852.081304,5949.127709
2014-05-26,6510.000000,6556.000000,6472.000000,6544.000000,594688,628910,6516.000000,TA0,5960.114094,6002.228572,5925.323874,5991.242186
2014-05-27,6540.000000,6574.000000,6452.000000,6462.000000,800988,614574,6512.000000,TA0,5987.580058,6018.708150,5907.013231,5916.168553
2014-05-28,6460.000000,6520.000000,6436.000000,6518.000000,584318,567918,6472.000000,TA0,5914.337488,5969.269415,5892.364717,5967.438351
2014-05-29,6518.000000,6580.000000,6506.000000,6562.000000,783054,602302,6556.000000,TA0,5967.438351,6024.201343,5956.451966,6007.721764
2014-05-30,6570.000000,6578.000000,6494.000000,6546.000000,662000,571004,6530.000000,TA0,6015.046021,6022.370278,5945.465580,5993.073251
2014-06-03,6562.000000,6700.000000,6540.000000,6554.000000,734964,606170,6588.000000,TA0,6007.721764,6134.065197,5987.580058,6000.397507
2014-06-04,6556.000000,6662.000000,6516.000000,6662.000000,927268,635858,6588.000000,TA0,6002.228572,6099.274976,5965.607287,6099.274976
2014-06-05,6664.000000,6778.000000,6634.000000,6760.000000,1282230,636690,6706.000000,TA0,6101.106041,6205.476702,6073.640077,6188.997124
2014-06-06,6770.000000,6800.000000,6736.000000,6788.000000,1083742,591262,6774.000000,TA0,6198.152445,6225.618409,6167.024353,6214.632023
2014-06-09,6800.000000,6834.000000,6752.000000,6770.000000,739726,580310,6790.000000,TA0,6225.618409,6256.746501,6181.672867,6198.152445
2014-06-10,6792.000000,6806.000000,6714.000000,6780.000000,886330,546384,6758.000000,TA0,6218.294152,6231.111601,6146.882646,6207.307766
2014-06-11,6778.000000,6786.000000,6710.000000,6744.000000,694218,502298,6738.000000,TA0,6205.476702,6212.800959,6143.220518,6174.348610
2014-06-12,6750.000000,6826.000000,6726.000000,6824.000000,997796,536478,6788.000000,TA0,6179.841803,6249.422244,6157.869032,6247.591180
2014-06-13,6852.000000,7012.000000,6840.000000,7000.000000,1465738,643534,6944.000000,TA0,6273.226079,6419.711218,6262.239693,6408.724833
2014-06-16,7058.000000,7180.000000,7058.000000,7164.000000,1135268,636936,7124.000000,TA0,6461.825695,6573.520614,6461.825695,6558.872100
2014-06-17,7160.000000,7160.000000,7016.000000,7052.000000,1017954,582312,7082.000000,TA0,6555.209972,6555.209972,6423.373346,6456.332503
2014-06-18,7058.000000,7100.000000,6994.000000,7008.000000,940374,594344,7048.000000,TA0,6461.825695,6500.278044,6403.231640,6416.049089
2014-06-19,7010.000000,7048.000000,6962.000000,7046.000000,788362,583518,7006.000000,TA0,6417.880154,6452.670374,6373.934612,6450.839310
2014-06-20,7060.000000,7100.000000,6992.000000,7096.000000,678562,548840,7042.000000,TA0,6463.656760,6500.278044,6401.400576,6496.615916
2014-06-23,7142.000000,7174.000000,7066.000000,7090.000000,909356,527690,7124.000000,TA0,6538.730393,6568.027421,6469.149952,6491.122723
2014-06-24,7092.000000,7142.000000,7072.000000,7124.000000,784290,553906,7114.000000,TA0,6492.953787,6538.730393,6474.643145,6522.250815
2014-06-25,7136.000000,7140.000000,7066.000000,7108.000000,619088,527070,7100.000000,TA0,6533.237201,6536.899329,6469.149952,6507.602301
2014-06-26,7144.000000,7346.000000,7134.000000,7334.000000,1305230,618180,7246.000000,TA0,6540.561458,6725.498946,6531.406136,6714.512560
2014-06-27,7330.000000,7372.000000,7290.000000,7370.000000,1000664,621632,7334.000000,TA0,6710.850432,6749.302781,6674.229147,6747.471717
2014-06-30,7370.000000,7422.000000,7352.000000,7388.000000,1004458,626408,7386.000000,TA0,6747.471717,6795.079387,6730.992138,6763.951295
2014-07-01,7388.000000,7406.000000,7332.000000,7368.000000,706208,582344,7362.000000,TA0,6763.951295,6780.430873,6712.681496,6745.640652
2014-07-02,7290.000000,7290.000000,7066.000000,7186.000000,1744626,499148,7158.000000,TA0,6674.229147,6674.229147,6469.149952,6579.013807
2014-07-03,7140.000000,7276.000000,7112.000000,7258.000000,1240240,542350,7192.000000,TA0,6536.899329,6661.411697,6511.264430,6644.932119
2014-07-04,7240.000000,7330.000000,7220.000000,7314.000000,1155696,544280,7274.000000,TA0,6628.452541,6710.850432,6610.141899,6696.201918
2014-07-07,7300.000000,7304.000000,7182.000000,7200.000000,1081918,515814,7234.000000,TA0,6683.384468,6687.046597,6575.351678,6591.831256
2014-07-08,7182.000000,7184.000000,6980.000000,7118.000000,1589510,534002,7076.000000,TA0,6575.351678,6577.182742,6390.414190,6516.757623
2014-07-09,7096.000000,7140.000000,7028.000000,7062.000000,1111546,558966,7076.000000,TA0,6496.615916,6536.899329,6434.359732,6465.487824
2014-07-10,7018.000000,7090.000000,6998.000000,7004.000000,733890,554366,7048.000000,TA0,6425.204411,6491.122723,6406.893768,6412.386961
2014-07-11,7046.000000,7120.000000,7010.000000,7110.000000,952884,584352,7068.000000,TA0,6450.839310,6518.588687,6417.880154,6509.433366
2014-07-14,7092.000000,7140.000000,7060.000000,7090.000000,619006,562418,7092.000000,TA0,6492.953787,6536.899329,6463.656760,6491.122723
2014-07-15,7100.000000,7144.000000,7078.000000,7126.000000,759798,563242,7114.000000,TA0,6500.278044,6540.561458,6480.136338,6524.081879
2014-07-16,7108.000000,7252.000000,7102.000000,7244.000000,1100894,628512,7190.000000,TA0,6507.602301,6639.438926,6502.109109,6632.114670
2014-07-17,7264.000000,7328.000000,7234.000000,7280.000000,1356392,597532,7286.000000,TA0,6650.425312,6709.019368,6622.959348,6665.073826
2014-07-18,7320.000000,7368.000000,7262.000000,7332.000000,1292340,595370,7316.000000,TA0,6701.695111,6745.640652,6648.594248,6712.681496
2014-07-21,7346.000000,7358.000000,7276.000000,7294.000000,998268,617594,7314.000000,TA0,6725.498946,6736.485331,6661.411697,6677.891275
2014-07-22,7320.000000,7500.000000,7314.000000,7480.000000,1516284,612636,7428.000000,TA0,6701.695111,6866.490892,6696.201918,6848.180250
2014-07-23,7472.000000,7508.000000,7430.000000,7484.000000,865076,588932,7474.000000,TA0,6840.855993,6873.815149,6802.403644,6851.842378
2014-07-24,7454.000000,7466.000000,7318.000000,7342.000000,1137560,537132,7390.000000,TA0,6824.376414,6835.362800,6699.864046,6721.836817
2014-07-25,7290.000000,7374.000000,7218.000000,7358.000000,1060022,496222,7298.000000,TA0,6674.229147,6751.133845,6608.310834,6736.485331
2014-07-28,7344.000000,7406.000000,7310.000000,7348.000000,587116,484966,7358.000000,TA0,6723.667881,6780.430873,6692.539789,6727.330010
2014-07-29,7358.000000,7446.000000,7332.000000,7414.000000,550680,462694,7404.000000,TA0,6736.485331,6817.052158,6712.681496,6787.755130
2014-07-30,7410.000000,7444.000000,7374.000000,7400.000000,362348,448074,7408.000000,TA0,6784.093001,6815.221093,6751.133845,6774.937680
2014-07-31,7358.000000,7374.000000,7314.000000,7354.000000,353714,425716,7344.000000,TA0,6736.485331,6751.133845,6696.201918,6732.823203
2014-08-01,7310.000000,7430.000000,7298.000000,7396.000000,375822,399774,7384.000000,TA0,6692.539789,6802.403644,6681.553404,6771.275552
2014-08-04,7380.000000,7420.000000,7356.000000,7360.000000,172696,368038,7390.000000,TA0,6756.627038,6793.248322,6734.654267,6738.316395
2014-08-05,6920.000000,6982.000000,6890.000000,6910.000000,647752,367016,6928.000000,TA0,6335.482263,6392.245254,6308.016299,6326.326942
2014-08-06,6890.000000,6938.000000,6832.000000,6926.000000,1048220,390958,6880.000000,TA0,6308.016299,6351.961841,6254.915437,6340.975456
2014-08-07,6944.000000,7018.000000,6938.000000,6978.000000,916576,408652,6986.000000,TA0,6357.455034,6425.204411,6351.961841,6388.583126
2014-08-08,7006.000000,7028.000000,6958.000000,7026.000000,617656,409268,6992.000000,TA0,6414.218025,6434.359732,6370.272484,6432.528668
2014-08-11,7040.000000,7156.000000,7040.000000,7106.000000,1211202,500838,7114.000000,TA0,6445.346117,6551.547843,6445.346117,6505.771237
2014-08-12,7110.000000,7120.000000,7028.000000,7036.000000,833400,490286,7064.000000,TA0,6509.433366,6518.588687,6434.359732,6441.683989
2014-08-13,7020.000000,7066.000000,6954.000000,6954.000000,956562,501162,7016.000000,TA0,6427.035475,6469.149952,6366.610355,6366.610355
2014-08-14,6930.000000,6968.000000,6872.000000,6954.000000,872914,489274,6920.000000,TA0,6344.637584,6379.427805,6291.536721,6366.610355
2014-08-15,6908.000000,6950.000000,6850.000000,6852.000000,1016780,526646,6898.000000,TA0,6324.495878,6362.948227,6271.395015,6273.226079
2014-08-18,6860.000000,6904.000000,6760.000000,6850.000000,1210506,600914,6828.000000,TA0,6280.550336,6320.833749,6188.997124,6271.395015
2014-08-19,6842.000000,6894.000000,6806.000000,6888.000000,780898,616336,6848.000000,TA0,6264.070758,6311.678428,6231.111601,6306.185235
2014-08-20,6882.000000,6916.000000,6838.000000,6854.000000,919596,643892,6874.000000,TA0,6300.692042,6331.820135,6260.408629,6275.057143
2014-08-21,6884.000000,6904.000000,6832.000000,6894.000000,876104,637268,6870.000000,TA0,6302.523107,6320.833749,6254.915437,6311.678428
2014-08-22,6918.000000,6918.000000,6812.000000,6816.000000,1189490,703034,6856.000000,TA0,6333.651199,6333.651199,6236.604794,6240.266923
2014-08-25,6800.000000,6838.000000,6752.000000,6830.000000,1094016,729920,6802.000000,TA0,6225.618409,6260.408629,6181.672867,6253.084372
2014-08-26,6830.000000,6836.000000,6758.000000,6796.000000,809162,723688,6792.000000,TA0,6253.084372,6258.577565,6187.166060,6221.956280
2014-08-27,6800.000000,6828.000000,6720.000000,6720.000000,874974,765194,6790.000000,TA0,6225.618409,6251.253308,6152.375839,6152.375839
2014-08-28,6720.000000,6736.000000,6670.000000,6688.000000,929400,775764,6704.000000,TA0,6152.375839,6167.024353,6106.599233,6123.078811
2014-08-29,6690.000000,6750.000000,6666.000000,6742.000000,792660,717778,6708.000000,TA0,6124.909876,6179.841803,6102.937105,6172.517546
2014-09-01,6752.000000,6770.000000,6692.000000,6704.000000,797904,784270,6730.000000,TA0,6181.672867,6198.152445,6126.740940,6137.727325
2014-09-02,6706.000000,6784.000000,6686.000000,6772.000000,655074,712380,6748.000000,TA0,6139.558390,6210.969895,6121.247747,6199.983509
2014-09-03,6740.000000,6756.000000,6628.000000,6644.000000,1031692,758884,6688.000000,TA0,6170.686482,6185.334995,6068.146884,6082.795398
2014-09-04,6666.000000,6694.000000,6622.000000,6676.000000,851036,757838,6658.000000,TA0,6102.937105,6128.572004,6062.653692,6112.092426
2014-09-05,6666.000000,6676.000000,6634.000000,6662.000000,614532,713568,6656.000000,TA0,6102.937105,6112.092426,6073.640077,6099.274976
2014-09-09,6646.000000,6654.000000,6566.000000,6594.000000,918554,763136,6602.000000,TA0,6147.373596,6154.773384,6073.375720,6099.274976
2014-09-10,6580.000000,6616.000000,6506.000000,6508.000000,714006,736326,6562.000000,TA0,6086.325348,6119.624392,6017.877312,6019.727259
2014-09-11,6490.000000,6490.000000,6376.000000,6436.000000,1006362,727444,6428.000000,TA0,6003.077737,6003.077737,5897.630763,5953.129170
2014-09-12,6444.000000,6466.000000,6402.000000,6442.000000,570234,701870,6432.000000,TA0,5960.528958,5980.878374,5921.680073,5958.679011
2014-09-15,6432.000000,6446.000000,6354.000000,6406.000000,694478,675784,6398.000000,TA0,5949.429276,5962.378905,5877.281347,5925.379966
2014-09-16,6404.000000,6460.000000,6366.000000,6374.000000,578006,669240,6414.000000,TA0,5923.530019,5975.328533,5888.381028,5895.780816
2014-09-17,6402.000000,6436.000000,6394.000000,6420.000000,549972,643126,6418.000000,TA0,5921.680073,5953.129170,5914.280285,5938.329595
2014-09-18,6418.000000,6420.000000,6312.000000,6326.000000,709120,701858,6346.000000,TA0,5936.479648,5938.329595,5838.432461,5851.382090
2014-09-19,6316.000000,6326.000000,6264.000000,6278.000000,614920,683716,6296.000000,TA0,5842.132355,5851.382090,5794.033735,5806.983364
2014-09-22,6272.000000,6272.000000,6054.000000,6176.000000,1026682,648564,6156.000000,TA0,5801.433523,5801.433523,5599.789309,5712.636071
2014-09-23,6168.000000,6186.000000,6126.000000,6164.000000,513590,639656,6160.000000,TA0,5705.236284,5721.885806,5666.387398,5701.536390
2014-09-24,6160.000000,6216.000000,6098.000000,6186.000000,774978,635468,6156.000000,TA0,5697.836496,5749.635010,5640.488142,5721.885806
2014-09-25,6212.000000,6286.000000,6192.000000,6282.000000,768624,635302,6236.000000,TA0,5745.935116,5814.383152,5727.435647,5810.683258
2014-09-26,6264.000000,6356.000000,6186.000000,6320.000000,1011152,617188,6270.000000,TA0,5794.033735,5879.131294,5721.885806,5845.832249
2014-09-29,6302.000000,6320.000000,6146.000000,6180.000000,732636,618244,6198.000000,TA0,5829.182727,5845.832249,5684.886868,5716.335965
2014-09-30,6170.000000,6228.000000,6120.000000,6146.000000,532646,591046,6172.000000,TA0,5707.086230,5760.734691,5660.837558,5684.886868
